"portfolioValuationByAssetClass__assetClassGroups__assetClass","portfolioValuationByAssetClass__assetClassGroups__defaultOrder","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioGroup","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__currentUnits","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__averageCost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__price","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__dollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__percentageValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__nativeCurrency","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignExchangeRate","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__cost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignCurrencyPrice","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__foreignCurrencyDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__isManagedAccount","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__isHeldByClient","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetName","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetCode","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetClassification","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations__assetClassType","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalPercentageValue","portfolioValuationByAssetClass__assetClassGroups__value","portfolioValuationByAssetClass__assetClassGroups__percentage","portfolioValuationByAssetClass__totalPortfolioValue","portfolioValuationByAssetClass__totalPortfolioPercentage","portfolioValuationByAssetClass__totalLiabilities","portfolioValuationByAssetClass__netAssets","assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","topAssetsByValue__portfolioValuations__currentUnits","topAssetsByValue__portfolioValuations__averageCost","topAssetsByValue__portfolioValuations__price","topAssetsByValue__portfolioValuations__dollarValue","topAssetsByValue__portfolioValuations__percentageValue","topAssetsByValue__portfolioValuations__nativeCurrency","topAssetsByValue__portfolioValuations__foreignExchangeRate","topAssetsByValue__portfolioValuations__cost","topAssetsByValue__portfolioValuations__foreignCurrencyPrice","topAssetsByValue__portfolioValuations__foreignCurrencyDollarValue","topAssetsByValue__portfolioValuations__isManagedAccount","topAssetsByValue__portfolioValuations__isHeldByClient","topAssetsByValue__portfolioValuations__assetName","topAssetsByValue__portfolioValuations__assetCode","topAssetsByValue__portfolioValuations__assetClassification","topAssetsByValue__portfolioValuations__assetClassType","topAssetsByValue__totalValue","topAssetsByValue__totalPercentage","productEnum","accountDetails"
"Growth","1","Australian Equities","12243.325","1.8427167456552855","2.1232","25995.02764","5.00480912454189","","0","null","0","0","False","True","BT Wholesale Focus Australian Share Fund","RFA0059AU","Managed Funds - Australian Equities - General","Australian Equities","83255.48173567","16.029134511003427","201369.98623497","38.769658508339745","519400.94865375","99.99999396492282","0","519400.94865375","Australian Equities","12243.325","1.8427167456552855","2.1232","25995.02764","5.00480912454189","","0","null","0","0","False","True","BT Wholesale Focus Australian Share Fund","RFA0059AU","Managed Funds - Australian Equities - General","Australian Equities","83255.48173567","16.029134511003427","50000","1","1","50000","9.62647394311809","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","209500.77233188","40.33507451831916","1","null"
"","","","1075.356","30.305312845234507","33.572","36101.851632","6.950670680675265","","0","null","0","0","False","True","Fidelity Australian Equities Fund","FID0008AU","Managed Funds - Australian Equities - General","Australian Equities","","","","","","","","","","1075.356","30.305312845234507","33.572","36101.851632","6.950670680675265","","0","null","0","0","False","True","Fidelity Australian Equities Fund","FID0008AU","Managed Funds - Australian Equities - General","Australian Equities","","","40735.901","1.0769323599838874","1.03898","42323.78642098","8.148576543113183","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","",""
"","","","16036.169","1.7857369799482656","1.31943","21158.60246367","4.07365470578627","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","","","","","","","","","16036.169","1.7857369799482656","1.31943","21158.60246367","4.07365470578627","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","","37706.534","1.0789907128562917","1.062","40044.339108","7.7097157398509335","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","",""
"","","International Equities","15077.643","0.9402000034090209","1.2457","18782.2198851","3.616131006356592","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","94054.9006427","18.108341005190248","","","","","","","International Equities","15077.643","0.9402000034090209","1.2457","18782.2198851","3.616131006356592","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","94054.9006427","18.108341005190248","43818.831","0.800820770412611","0.8994","39410.6566014","7.58771317709104","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","","","",""
"","","","5312","1.4118975903614457","1.64","8711.68","1.67725521041566","","0","null","0","0","False","True","Magellan Global Trust","MGG","ASX - International Equities LIC","International Equities","","","","","","","","","","5312","1.4118975903614457","1.64","8711.68","1.67725521041566","","0","null","0","0","False","True","Magellan Global Trust","MGG","ASX - International Equities LIC","International Equities","","","18218.783","1.8044212942214637","2.0705","37721.9902015","7.2625951151459125","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","","",""
"","","","14853.559","1.3294706002783576","0.9056","13451.3830304","2.589787764820929","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","","","","","","","","","14853.559","1.3294706002783576","0.9056","13451.3830304","2.589787764820929","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","12438.467","1.3005195897533033","1.2371","15387.6275257","2.962571908451155","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","","","","","","","","","12438.467","1.3005195897533033","1.2371","15387.6275257","2.962571908451155","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","18218.783","1.8044212942214637","2.0705","37721.9902015","7.2625951151459125","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","","","","","","","","","18218.783","1.8044212942214637","2.0705","37721.9902015","7.2625951151459125","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","Property","14031.378","1.5932690288865428","1.7147","24059.6038566","4.632182992146068","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","24059.6038566","4.632182992146068","","","","","","","Property","14031.378","1.5932690288865428","1.7147","24059.6038566","4.632182992146068","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","24059.6038566","4.632182992146068","","","","","","","","","","","","","","","","","","","",""
"Defensive","2","Australian Fixed Interest","40735.901","1.0769323599838874","1.03898","42323.78642098","8.148576543113183","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","164583.75133798","31.68722387431383","259633.75862238","49.987152242643056","","","","","Australian Fixed Interest","40735.901","1.0769323599838874","1.03898","42323.78642098","8.148576543113183","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","164583.75133798","31.68722387431383","","","","","","","","","","","","","","","","","","","",""
"","","","37706.534","1.0789907128562917","1.062","40044.339108","7.7097157398509335","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","37706.534","1.0789907128562917","1.062","40044.339108","7.7097157398509335","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","29801.689","1.1196130528038193","1.081","32215.625809","6.202457648231623","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","29801.689","1.1196130528038193","1.081","32215.625809","6.202457648231623","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","50000","1","1","50000","9.62647394311809","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","","","","","","","","","","50000","1","1","50000","9.62647394311809","","0","null","0","0","False","True","Term Deposit BOQ 2.45% 12/04/2018","BOQ0418O","Interest Bearing Deposits","Australian Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","International Fixed Interest","14493.83","1.9560999404574222","2.1919","31769.025977","6.116474015316644","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","84355.6072844","16.24094110958358","","","","","","","International Fixed Interest","14493.83","1.9560999404574222","2.1919","31769.025977","6.116474015316644","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","84355.6072844","16.24094110958358","","","","","","","","","","","","","","","","","","","",""
"","","","28091.076","1.018863072386405","0.9949","27947.8115124","5.3807775858258875","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","28091.076","1.018863072386405","0.9949","27947.8115124","5.3807775858258875","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","","23979.338","1.0454000022853007","1.0275","24638.769795","4.743689508441051","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","23979.338","1.0454000022853007","1.0275","24638.769795","4.743689508441051","","0","null","0","0","False","True","T. Rowe Dynamic Global Bond Fund","ETL0398AU","Managed Funds - International Fixed Interest","International Fixed Interest","","","","","","","","","","","","","","","","","","","","","",""
"","","Cash","0","0","0","5694.4","1.096339864433833","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","10694.4","2.058987258745642","","","","","","","Cash","0","0","0","5694.4","1.096339864433833","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","10694.4","2.058987258745642","","","","","","","","","","","","","","","","","","","",""
"","","","0","0","0","5000","0.962647394311809","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","0","0","0","5000","0.962647394311809","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","","","","","","","","","","","","","","","","","","","","",""
"Other (inc Multi Sector)","3","","","","","","","","","","","","","","","","","","","","58397.2037964","11.243183213940027","","","","","Multi Sector","43818.831","0.800820770412611","0.8994","39410.6566014","7.58771317709104","","0","null","0","0","False","True","netwealth Index Opportunities Balanced Fund","NET0002AU","Managed Funds - Multi-Sector 40 - 60% Growth","Multi Sector","39410.6566014","7.58771317709104","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","16774.05","1.1268000274233116","1.1319","18986.547195","3.655470036848987","","0","null","0","0","False","True","Ironbark Global Diversified Alternatives Fund","DEU0109AU","Managed Funds - Alternative Investments","Other","18986.547195","3.655470036848987","","","","","","","","","","","","","","","","","","","",""
